[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/README.md
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/tox.ini
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/test-requirements.txt
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/requirements.txt
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/swaggeraem/configuration.py
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/swaggeraem/__init__.py
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/swaggeraem/models/__init__.py
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/swaggeraem/apis/__init__.py
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/test/__init__.py
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/git_push.sh
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/.gitignore
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/.travis.yml
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/setup.py
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/swaggeraem/api_client.py
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/swaggeraem/rest.py
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/.swagger-codegen-ignore
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/python/generated/.swagger-codegen/VERSION
