[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/gradle.properties
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/AndroidManifest.xml
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/.travis.yml
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/ApiClient.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/StringUtil.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/auth/HttpBasicAuth.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/auth/ApiKeyAuth.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/auth/OAuth.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/auth/OAuthFlow.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/gradlew
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/gradlew.bat
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/gradle/wrapper/gradle-wrapper.properties
[main] INFO io.swagger.codegen.DefaultGenerator - writing file /opt/workspace/java/generated/gradle/wrapper/gradle-wrapper.jar
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/git_push.sh
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/.gitignore
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/ApiException.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/Configuration.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/Pair.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/auth/Authentication.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/ApiCallback.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/ApiResponse.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/JSON.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/ProgressRequestBody.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/ProgressResponseBody.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/src/main/java/com/shinesolutions/swaggeraem4j/GzipRequestInterceptor.java
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/.swagger-codegen-ignore
[main] INFO io.swagger.codegen.AbstractGenerator - writing file /opt/workspace/java/generated/.swagger-codegen/VERSION
